Dep,Nom,Population 2010,Surface en km²,Longitude,Latitude
1,La Tranclière,301,14.75,5.26667,46.1167
1,Saint-Didier-de-Formans,1792,6.53,4.78333,45.95
1,Mérignat,139,3.17,5.43333,46.0667
1,Saint-Éloi,399,14.26,5.15,45.9333
1,La Chapelle-du-Châtelard,341,13.37,5.03333,46.0667
1,Saint-Jean-de-Niost,1421,14.19,5.21667,45.8333
1,Savigneux,1204,14.75,4.85,46
1,Nattages,564,10.33,5.76667,45.7333
1,Saint-Benoît,773,21.65,5.58333,45.7
1,Douvres,962,5.26,5.36667,45.9833
1,Francheleins,1323,13.56,4.8,46.0667
1,Dortan,1996,18.11,5.66667,46.3167
1,Saint-Germain-les-Paroisses,387,16.27,5.61667,45.7667
1,Miribel,9066,24.49,4.95306,45.8245
1,Lancrans,1052,9.66,5.83333,46.1333
1,Échenevex,1631,16.44,6.03333,46.3167
1,Saint-Jean-sur-Veyle,1082,11.21,4.91667,46.25
1,Billiat,484,13.7,5.78333,46.0667
1,L'Abergement-de-Varey,221,9.15,5.41667,46
1,Villeneuve,1383,26.79,4.83667,46.0212
1,Villars-les-Dombes,4399,24.65,5.01667,46
1,Thézillieu,324,26.25,5.6,45.8833
1,Saint-Étienne-sur-Reyssouze,531,13.82,5,46.4
1,Souclin,261,13.19,5.41667,45.8667
1,Saint-Just,881,3.38,5.28,46.1903
1,Civrieux,1362,19.76,4.88333,45.9167
1,Argis,421,7.84,5.48333,45.9333
1,Talissieu,425,4.8,5.71667,45.8667
1,Birieux,236,15.83,5.03333,45.95
1,Saint-Julien-sur-Veyle,715,9.84,4.95,46.2
1,Thoiry,5205,28.93,5.97973,46.2364
1,Laiz,1130,10.31,4.88333,46.25
1,Cressin-Rochefort,374,7.93,5.76667,45.7667
1,Saint-Champ,139,5.14,5.73333,45.7833
1,Saint-Georges-sur-Renon,197,5.66,5.03333,46.1
1,Lantenay,257,6.59,5.53333,46.05
1,Vernoux,285,10.2,5.11667,46.4833
1,Cormaranche-en-Bugey,859,18.92,5.6,45.95
1,Sainte-Euphémie,1482,4.61,4.78333,45.9667
1,Beaupont,624,14.07,5.26667,46.4
1,Brens,1158,6.9,5.69473,45.7187
1,Ramasse,250,9.86,5.35,46.2
1,Divonne-les-Bains,8160,33.88,6.13333,46.3667
1,Léaz,569,11.4,5.88333,46.1
1,Villes,385,9.21,5.78333,46.0833
1,Saint-Julien-sur-Reyssouze,668,7.52,5.11667,46.4
1,Groslée,353,7.27,5.56667,45.7167
1,Vandeins,619,9.4,5.08333,46.2167
1,Verjon,250,5.11,5.35,46.35
1,Saint-André-sur-Vieux-Jonc,1079,24.22,5.06667,46.15
1,Saint-André-d'Huiriat,543,9,4.91667,46.2167
1,Grilly,762,7.5,6.11667,46.3333
1,Cessy,3992,6.39,6.06667,46.3167
1,Ordonnaz,141,14.88,5.53333,45.8333
1,Vescours,208,12.48,5.03333,46.4667
1,Meillonnas,1298,17.74,5.35,46.25
1,Géovreisset,903,3.31,5.6,46.25
1,Ceyzérieu,929,19.72,5.73333,45.8333
1,Béard-Géovreissiat,925,4.69,5.56667,46.2
1,La Burbanche,72,10.82,5.56667,45.85
1,Perrex,826,11.07,4.98333,46.2333
1,Villemotier,632,13.86,5.31667,46.35
1,Jasseron,1552,18.93,5.33333,46.2167
1,Corveissiat,602,22.69,5.48333,46.2333
1,Journans,324,2.43,5.33333,46.15
1,Sermoyer,669,16.7,4.98333,46.5
1,Charix,294,18.27,5.68333,46.1833
1,Arbignieu,480,13.07,5.65,45.7333
1,Leyssard,153,9.13,5.46667,46.1667
1,Saint-Jean-de-Thurigneux,710,16,4.88333,45.95
1,Frans,1984,7.98,4.78333,45.9833
1,Tenay,1120,13.12,5.5,45.9167
1,Bâgé-la-Ville,3040,39.68,4.95,46.3167
1,Montmerle-sur-Saône,3823,4.16,4.76667,46.0833
1,Courmangoux,507,14.82,5.36667,46.3333
1,Baneins,572,8.91,4.9,46.1167
1,Lagnieu,6756,27.25,5.35,45.9
1,Attignat,2936,18.69,5.16667,46.2833
1,Saint-André-de-Bâgé,635,2.7,4.91667,46.3
1,Pont-de-Vaux,2205,7.54,4.93333,46.4333
1,Ambérieu-en-Bugey,13835,24.6,5.35,45.95
1,Peyzieux-sur-Saône,473,8.66,4.81667,46.1167
1,Crozet,1862,27.47,6.01251,46.2806
1,Seyssel,942,2.4,5.83194,45.9597
1,Beynost,4475,10.64,5,45.8333
1,Versonnex,2144,5.89,6.09723,46.3023
1,Saint-Laurent-sur-Saône,1749,0.53,4.83333,46.3
1,Artemare,1126,3.75,5.7,45.8667
1,Montracol,967,14.56,5.11667,46.1833
1,Parves,360,5.53,5.75,45.75
1,Pugieu,168,4.85,5.65,45.8167
1,Virieu-le-Grand,1156,12.55,5.65,45.85
1,Saint-Rémy,906,7.38,5.16667,46.1833
1,Rancé,641,9.53,4.86667,45.9667
1,Grièges,1899,14.87,4.85,46.25
1,Grand-Corent,161,7.13,5.43333,46.2
1,Outriaz,256,5.91,5.55,46.0667
1,Montagnieu,495,6.22,5.46667,45.8
1,Champagne-en-Valromey,765,18.16,5.68333,45.9
1,Ambérieux-en-Dombes,1616,15.92,4.9,46
1,La Boisse,2928,9.4,5.03333,45.85
1,Parcieux,1095,3.14,4.81667,45.9167
1,Saint-Didier-d'Aussiat,863,15.22,5.06667,46.3
1,Saint-Nizier-le-Bouchoux,703,28.3,5.15,46.45
1,Ars-sur-Formans,1367,5.5,4.81667,45.9833
1,Anglefort,994,29.26,5.80833,45.9167
1,Corlier,124,5.45,5.5,46.0333
1,Ferney-Voltaire,8025,4.78,6.11667,46.25
1,Saint-Maurice-de-Rémens,709,10.35,5.28333,45.95
1,Châtillon-la-Palud,1562,14.01,5.25,45.9667
1,Saint-Sulpice,142,5.26,5.04167,46.3203
1,Saint-Bois,123,9.42,5.63333,45.7
1,Virignin,855,7.88,5.71667,45.7167
1,Prémillieu,36,8.51,5.56667,45.8667
1,Genouilleux,609,4.08,4.78333,46.1167
1,Reyssouze,929,9.54,4.91667,46.4333
1,Collonges,1897,16.25,5.9,46.1333
1,Saint-Germain-de-Joux,480,11.27,5.73333,46.1833
1,Brégnier-Cordon,832,11,5.61667,45.65
1,Saint-Martin-le-Châtel,790,12.77,5.11667,46.2833
1,Marignieu,148,3.55,5.71667,45.8
1,Neyrolles,637,9.5,5.63333,46.1333
1,Sulignat,569,10.8,4.96667,46.1667
1,Bény,724,18.25,5.28333,46.3333
1,Injoux-Génissiat,1055,29.61,5.78333,46.05
1,Chanay,617,18.1,5.78333,46
1,Châtillon-sur-Chalaronne,4922,17.98,4.96667,46.1167
1,Farges,854,14.28,5.91667,46.1667
1,Saint-Alban,163,8.08,5.45,46.1
1,Curtafond,702,12.41,5.08333,46.2667
1,Viriat,6006,45.03,5.21667,46.25
1,Belleydoux,321,17.63,5.76667,46.25
1,Bâgé-le-Châtel,796,0.88,4.93333,46.3
1,Sainte-Olive,303,7.39,4.93333,46.0167
1,Saint-Genis-sur-Menthon,408,11.55,5.01667,46.2833
1,Domsure,473,15.2,5.3,46.4167
1,Chavannes-sur-Suran,644,21.5,5.41667,46.2667
1,Priay,1488,15.77,5.28333,46
1,Peyrieu,821,14.13,5.67751,45.6767
1,Lalleyriat,239,15.25,5.71667,46.15
1,Sergy,1977,9.46,6,46.25
1,Saint-Martin-du-Frêne,1077,19.14,5.55,46.1333
1,Saint-Maurice-de-Beynost,3865,6.99,4.96667,45.8333
1,Servas,1184,13.05,5.16667,46.1333
1,Cuzieu,407,4.87,5.67445,45.8192
1,Jayat,1049,16.3,5.11667,46.3667
1,Lavours,148,6.3,5.76667,45.8
1,Chevroux,933,17.2,4.95,46.3833
1,Pollieu,157,3.71,5.75,45.8
1,Béligneux,2905,13.3,5.11667,45.8667
1,Brénaz,92,9.79,5.71667,45.95
1,Bénonces,275,15.33,5.48333,45.8333
1,Saint-Jean-le-Vieux,1609,15.33,5.38917,46.0284
1,Beauregard,870,0.94,4.75139,46.002
1,Oyonnax,22650,36.18,5.66667,46.25
1,Mionnay,2077,19.62,4.93333,45.9
1,Germagnat,145,9.48,5.45,46.3167
1,Coligny,1154,16.87,5.35,46.3833
1,Simandre-sur-Suran,650,16.3,5.41667,46.2167
1,L'Abergement-Clémenciat,784,15.95,4.91667,46.15
1,Lescheroux,683,20.05,5.15,46.4
1,Ornex,3531,5.64,6.1,46.2833
1,Dommartin,841,17.19,4.99167,46.3417
1,Lompnas,149,12.69,5.51667,45.8
1,Bettant,724,3.37,5.36667,45.9333
1,Armix,20,6.82,5.58333,45.85
1,Feillens,3115,14.91,4.88333,46.3333
1,Chavornay,199,7.77,5.7,45.8833
1,Challex,1225,8.67,5.96667,46.1833
1,Vongnes,74,2.05,5.71667,45.8167
1,Magnieu,419,6.23,5.71667,45.7833
1,Groissiat,1143,6.32,5.6,46.2167
1,Dompierre-sur-Chalaronne,389,4.78,4.9,46.1333
1,Montluel,6999,40.11,5.05,45.85
1,Le Poizat,422,17.9,5.7,46.15
1,Hostiaz,82,10.6,5.53333,45.9
1,Montanges,330,13.7,5.8,46.1667
1,Sainte-Julie,889,11.15,5.28333,45.8833
1,Bey,245,2.77,4.85,46.2167
1,Sonthonnax-la-Montagne,320,14.14,5.53333,46.2333
1,Mézériat,2072,19.17,5.03333,46.2333
1,Bellignat,3537,7.83,5.61667,46.25
1,Saint-Marcel,1212,11.64,4.98723,45.9487
1,Belley,8755,22.42,5.68333,45.7667
1,Corbonod,1176,31.59,5.81667,45.95
1,Neyron,2472,5.36,4.93223,45.8148
1,Saint-Paul-de-Varax,1551,25.97,5.13333,46.1
1,Pressiat,224,6.01,5.38333,46.3333
1,Chazey-Bons,744,10.59,5.68333,45.8
1,Servignat,160,7.99,5.06667,46.4333
1,Marlieux,887,16.85,5.06667,46.0667
1,Andert-et-Condon,340,6.94,5.65,45.8
1,Hautecourt-Romanèche,773,21.6,5.41667,46.1583
1,Crottet,1722,12.12,4.9,46.2833
1,Druillat,1134,20.72,5.31667,46.0667
1,Dompierre-sur-Veyle,1226,29.1,5.2,46.0667
1,Pérouges,1204,18.97,5.18333,45.9
1,Rignieux-le-Franc,950,15.02,5.18333,45.9333
1,Giron,162,9.39,5.76667,46.2333
1,Cerdon,741,12.3,5.46667,46.0833
1,Cruzilles-lès-Mépillat,818,11.84,4.88333,46.2167
1,Lélex,225,17.63,5.95,46.3
1,Lhôpital,59,3.68,5.77834,46.0217
1,Ségny,1649,3.24,6.08333,46.3
1,Cheignieu-la-Balme,157,6.26,5.61667,45.8333
1,Saint-Vulbas,957,21.44,5.28333,45.8333
1,Échallon,772,28.09,5.74139,46.21
1,Le Montellier,244,15.38,5.06667,45.9333
1,Martignat,1604,13.25,5.6,46.2167
1,Ceyzériat,2738,9.36,5.31667,46.1667
1,Montcet,665,6.68,5.11667,46.2
1,Vonnas,2790,17.81,5,46.2167
1,Buellas,1669,10.21,5.13333,46.2
1,Saint-Bénigne,1161,16.49,4.96667,46.4333
1,Chevillard,162,6.67,5.58333,46.1167
1,Bouligneux,309,26.09,5,46.0167
1,Contrevoz,539,14.18,5.63333,45.8
1,Champdor,464,17.37,5.6,46.0167
1,Port,847,4.25,5.56667,46.1667
1,Surjoux,78,4.31,5.8,46.0167
1,Champfromier,677,32.4,5.81667,46.2
1,Vésines,91,3.88,4.86667,46.35
1,Seillonnaz,138,9.59,5.48333,45.8
1,Varambon,521,7.99,5.31667,46.0333
1,Le Grand-Abergement,109,31.92,5.66667,46.0333
1,Jassans-Riottier,5976,4.81,4.75,45.9833
1,Asnières-sur-Saône,73,4.68,4.88333,46.3833
1,Condamine,404,4.64,5.56667,46.1167
1,Lhuis,854,24.43,5.53333,45.75
1,Romans,587,22.32,5.03333,46.1167
1,Pizay,777,11.18,5.08333,45.8833
1,Certines,1445,15.92,5.26667,46.1333
1,Ruffieu,202,14.03,5.66667,46
1,Meximieux,7268,13.75,5.2,45.9
1,Saint-Rambert-en-Bugey,2164,28.55,5.43333,45.95
1,Ambronay,2362,33.55,5.35,46
1,Cize,170,4.52,5.43333,46.2
1,Saint-Germain-sur-Renon,236,15.8,5.05,46.0833
1,Villette-sur-Ain,673,19.38,5.26862,45.9884
1,Dagneux,4099,6.65,5.06667,45.85
1,Boissey,288,9.05,5,46.3833
1,Salavre,284,7.77,5.35,46.3667
1,Brion,517,4.48,5.55251,46.1728
1,Labalme,204,8.8,5.48333,46.1
1,Sauverny,1078,1.89,6.11667,46.3167
1,Montceaux,1164,10.03,4.8,46.1
1,Brénod,544,23.79,5.6,46.0667
1,Misérieux,1762,7.41,4.81667,45.9833
1,Prévessin-Moëns,5980,12.07,6.08333,46.25
1,Lent,1328,31.48,5.2,46.1167
1,Marsonnas,1005,18.38,5.06667,46.3333
1,Manziat,1924,12.63,4.9,46.35
1,Trévoux,6730,5.71,4.76667,45.9333
1,Bellegarde-sur-Valserine,11790,15.25,5.81667,46.1
1,Bourg-en-Bresse,40088,23.86,5.21667,46.2
1,Confort,525,11.66,5.81667,46.15
1,Saint-Denis-lès-Bourg,5405,12.58,5.2,46.2
1,Massignieu-de-Rives,608,9.52,5.76667,45.75
1,Saint-Étienne-sur-Chalaronne,1468,20.99,4.86667,46.15
1,Bohas-Meyriat-Rignat,811,23.51,5.4,46.1333
1,Chevry,1235,5.84,6.03333,46.2833
1,Fareins,2137,8.22,4.76667,46.0167
1,Gorrevod,799,6.88,4.95,46.4167
1,Valeins,88,4.36,4.86667,46.1167
1,Vieu-d'Izenave,693,23.73,5.53333,46.0833
1,Toussieux,769,4.74,4.83333,45.9667
1,Arbigny,399,17.47,4.96667,46.4667
1,Malafretaz,952,9.19,5.15,46.3167
1,Samognat,718,14.01,5.58333,46.25
1,Cras-sur-Reyssouze,1256,13.83,5.16667,46.3
1,Messimy-sur-Saône,1209,5.95,4.76473,46.0484
1,Pougny,802,7.77,5.95,46.1333
1,Sandrans,524,29.02,4.98333,46.0667
1,Pont-de-Veyle,1593,1.94,4.88333,46.2667
1,Mijoux,379,22,6,46.3667
1,Saint-Jean-de-Gonville,1496,12.36,5.95,46.2167
1,Saint-André-le-Bouchoux,316,9.32,5.08333,46.1167
1,Chaneins,820,12.63,4.85,46.1
1,Joyeux,223,16.58,5.1,45.95
1,Tramoyes,1674,12.93,4.96667,45.8667
1,Biziat,797,11.39,4.93333,46.2167
1,Izenave,164,13.04,5.53333,46.0333
1,Belmont-Luthézieu,514,19.77,5.66167,45.8795
1,Arbent,3476,23.49,5.68333,46.3
1,Sutrieu,235,19.05,5.65,45.95
1,Serrières-de-Briord,1174,8.03,5.45445,45.8081
1,Aranc,302,21.65,5.5,46
1,Chaley,127,4.6,5.53333,45.95
1,Curciat-Dongalon,456,23.94,5.15,46.4667
1,Loyettes,2645,21.28,5.2,45.7667
1,Gex,10372,32.02,6.06667,46.3333
1,Courtes,266,9.06,5.1,46.4667
1,Béréziat,445,10.83,5.05,46.3667
1,Lapeyrouse,292,20.04,4.96667,45.9833
1,Apremont,363,14.57,5.65833,46.2083
1,Villieu-Loyes-Mollon,3095,15.91,5.22223,45.9206
1,Leyment,1273,14.18,5.3,45.9167
1,Étrez,803,12.15,5.18333,46.3333
2,Gercy,295,6.33,3.86667,49.8167
2,Villemontoire,210,7.65,3.33333,49.3
2,Brancourt-le-Grand,619,13.14,3.38333,49.9667
2,Licy-Clignon,87,4.09,3.26667,49.1
2,Proisy,318,5.2,3.73333,49.9
2,Chambry,718,8.89,3.65,49.6
2,Mont-Saint-Jean,80,3.97,4.2,49.7833
2,Morgny-en-Thiérache,110,6.99,4.06667,49.7667
2,Mesnil-Saint-Laurent,450,5.45,3.35,49.8333
2,Annois,383,5.9,3.16667,49.7167
2,Brunehamel,538,8.9,4.18333,49.7667
2,Audignicourt,102,5.66,3.13333,49.4833
2,Montigny-sur-Crécy,309,8.53,3.58333,49.7167
2,Lor,142,8.87,4.05,49.5333
2,Chivres-en-Laonnois,367,13.56,3.85,49.6333
2,Saint-Gobain,2337,29.73,3.38333,49.6
2,Ugny-le-Gay,163,5.9,3.16667,49.6667
2,Happencourt,148,5.18,3.18333,49.7833
2,Prouvais,379,18.22,3.98333,49.4667
2,Azy-sur-Marne,387,2.78,3.36667,49
2,Terny-Sorny,304,7.07,3.36667,49.45
2,Droizy,75,5.42,3.38333,49.2833
2,Pignicourt,164,7.01,4.03333,49.4167
2,Moussy-Verneuil,127,6.43,3.63333,49.4167
2,Aguilcourt,349,10.57,3.96667,49.4
2,Montaigu,732,23.51,3.83333,49.5333
2,Moulins,99,1.6,3.68333,49.4167
2,Saulchery,658,2.63,3.3,48.9833
2,Nanteuil-la-Fosse,147,7.36,3.45,49.4333
2,Guignicourt,2111,17.74,3.96667,49.4333
2,Bucy-le-Long,1955,12.86,3.38333,49.4
2,Longpont,294,10.94,3.21667,49.2667
2,Montgobert,198,11.18,3.15,49.3
2,Noircourt,90,5.45,4.1,49.6667
2,Rozet-Saint-Albin,286,7.95,3.3,49.2
2,Chivy-lès-Étouvelles,503,3.54,3.58333,49.5167
2,Chavonne,193,3.62,3.56667,49.4
2,Artonges,184,13.12,3.55,48.9333
2,Oisy,428,10.79,3.66667,50.0167
2,Juvigny,280,13.85,3.31667,49.45
2,Marchais-en-Brie,275,12.78,3.48333,48.8833
2,Bouconville-Vauclair,181,13.04,3.75556,49.4656
2,La Bouteille,502,19,3.96667,49.8667
2,Ly-Fontaine,120,3.47,3.3,49.7167
2,Logny-lès-Aubenton,77,8.15,4.2,49.8333
2,Cuirieux,161,6.46,3.81667,49.6833
2,Iron,222,9.51,3.66667,49.95
2,Joncourt,322,7.25,3.3,49.95
2,Effry,353,2.77,4,49.9333
